impl,kernel,n,iter,gpu_ms,tflops
cutile,mma_f16xf16_f32acc,4096,1,0.795712,172.724496
cutile,mma_f16xf16_f32acc,4096,2,0.796864,172.474799
cutile,mma_f16xf16_f32acc,4096,3,0.794688,172.947063
cutile,mma_f16xf16_f32acc,4096,4,0.796800,172.488643
cutile,mma_f16xf16_f32acc,4096,5,0.802944,171.168790
cutile,mma_f16xf16_f32acc,4096,6,0.794912,172.898329
cutile,mma_f16xf16_f32acc,4096,7,0.800000,171.798689
cutile,mma_f16xf16_f32acc,4096,8,0.799232,171.963776
cutile,mma_f16xf16_f32acc,4096,9,1.058304,129.867183
cutile,mma_bf16xbf16_f32acc,4096,0,0.904736,151.910564
cutile,mma_bf16xbf16_f32acc,4096,1,0.856960,160.379660
cutile,mma_bf16xbf16_f32acc,4096,2,0.859072,159.985366
cutile,mma_bf16xbf16_f32acc,4096,3,0.859264,159.949621
cutile,mma_bf16xbf16_f32acc,4096,4,0.860256,159.765176
cutile,mma_bf16xbf16_f32acc,4096,5,0.860256,159.765176
cutile,mma_bf16xbf16_f32acc,4096,6,0.860352,159.747355
cutile,mma_bf16xbf16_f32acc,4096,7,0.861696,159.498190
cutile,mma_bf16xbf16_f32acc,4096,8,0.858624,160.068850
cutile,mma_bf16xbf16_f32acc,4096,9,1.102336,124.679723
cutile,mma_tf32xtf32_f32acc,4096,0,1.653344,83.127861
cutile,mma_tf32xtf32_f32acc,4096,1,1.636448,83.986140
cutile,mma_tf32xtf32_f32acc,4096,2,1.635232,84.048597
cutile,mma_tf32xtf32_f32acc,4096,3,2.552384,53.847289
cutile,mma_tf32xtf32_f32acc,4096,4,1.640672,83.769916
cutile,mma_tf32xtf32_f32acc,4096,5,1.635200,84.050239
cutile,mma_tf32xtf32_f32acc,4096,6,1.635200,84.050239
cutile,mma_tf32xtf32_f32acc,4096,7,1.635936,84.012426
cutile,mma_tf32xtf32_f32acc,4096,8,1.636864,83.964800
cutile,mma_tf32xtf32_f32acc,4096,9,1.636864,83.964800
cutile,mma_f32xf32_f32acc,4096,0,17.169376,8.004889
cutile,mma_f32xf32_f32acc,4096,1,15.719936,8.742971
cutile,mma_f32xf32_f32acc,4096,2,16.861696,8.150957
cutile,mma_f32xf32_f32acc,4096,3,15.678976,8.765812
cutile,mma_f32xf32_f32acc,4096,4,16.941343,8.112636
cutile,mma_f32xf32_f32acc,4096,5,15.758016,8.721844
cutile,mma_f32xf32_f32acc,4096,6,16.924128,8.120889
cutile,mma_f32xf32_f32acc,4096,7,15.800832,8.698210
cutile,mma_f32xf32_f32acc,4096,8,16.887297,8.138600
cutile,mma_f32xf32_f32acc,4096,9,15.784448,8.707239
