impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
cuda-matmul,matmul,4096,0,22.159456,,6.202271
cuda-matmul,matmul,4096,1,25.179424,,5.458383
cuda-matmul,matmul,4096,2,22.465311,,6.11783
cuda-matmul,matmul,4096,3,22.057152,,6.231038
cuda-matmul,matmul,4096,4,22.580065,,6.086739
cuda-matmul,matmul,4096,5,20.954784,,6.558834
cuda-matmul,matmul,4096,6,20.350529,,6.753581
cuda-matmul,matmul,4096,7,19.423328,,7.075973
cuda-matmul,matmul,4096,8,19.529663,,7.037446
cuda-matmul,matmul,4096,9,20.288799,,6.774129
cublas-matmul,sgemm,1024,0,0.057568,,37.303427
cublas-matmul,sgemm,1024,1,0.076544,,28.055545
cublas-matmul,sgemm,1024,2,0.067296,,31.911016
cublas-matmul,sgemm,1024,3,0.065408,,32.832126
cublas-matmul,sgemm,1024,4,0.062784,,34.204313
cublas-matmul,sgemm,1024,5,0.063104,,34.030862
cublas-matmul,sgemm,1024,6,0.06256,,34.326785
cublas-matmul,sgemm,1024,7,0.063264,,33.944799
cublas-matmul,sgemm,1024,8,0.063104,,34.030862
cublas-matmul,sgemm,1024,9,0.066688,,32.20195
cublas-matmul,sgemm,2048,0,0.288576,,59.533256
cublas-matmul,sgemm,2048,1,0.268416,,64.004642
cublas-matmul,sgemm,2048,2,0.274336,,62.623456
cublas-matmul,sgemm,2048,3,0.271776,,63.213344
cublas-matmul,sgemm,2048,4,0.276,,62.245904
cublas-matmul,sgemm,2048,5,0.261984,,65.576027
cublas-matmul,sgemm,2048,6,0.275168,,62.43411
cublas-matmul,sgemm,2048,7,0.2728,,62.97606
cublas-matmul,sgemm,2048,8,0.271264,,63.332658
cublas-matmul,sgemm,2048,9,0.265408,,64.730033
cublas-matmul,sgemm,4096,0,1.931296,,71.164106
cublas-matmul,sgemm,4096,1,2.697568,,50.949209
cublas-matmul,sgemm,4096,2,2.260288,,60.805948
cublas-matmul,sgemm,4096,3,2.204768,,62.337152
cublas-matmul,sgemm,4096,4,2.365184,,58.1092
cublas-matmul,sgemm,4096,5,1.889344,,72.744273
cublas-matmul,sgemm,4096,6,2.86272,,48.009918
cublas-matmul,sgemm,4096,7,2.297056,,59.832654
cublas-matmul,sgemm,4096,8,1.91312,,71.840215
cublas-matmul,sgemm,4096,9,3.255872,,42.21264
cuda-tiled,matmul_tiled,1024,0,0.135168,,15.887515
cuda-tiled,matmul_tiled,1024,1,0.094112,,22.818383
cuda-tiled,matmul_tiled,1024,2,0.089088,,24.105195
